frame_number,track_id,x,y,w,h,spoof_score,spoof_label
0,599,315,434,463,743,0.2037,FAKE
1,599,313,436,462,741,0.2044,FAKE
2,599,308,433,464,745,0.2013,FAKE
3,599,306,433,463,749,0.2048,FAKE
4,599,304,434,462,747,0.1818,FAKE
5,599,301,432,463,742,0.2045,FAKE
6,599,300,433,463,734,0.1983,FAKE
7,599,299,433,463,728,0.1925,FAKE
8,599,299,433,463,718,0.1892,FAKE
9,599,299,432,462,715,0.1837,FAKE
10,599,299,433,462,712,0.1854,FAKE
11,601,572,1273,113,177,0.1872,FAKE
11,599,300,436,463,708,0.1882,FAKE
12,599,297,436,464,712,0.1813,FAKE
13,599,296,438,464,716,0.1949,FAKE
14,599,296,436,464,719,0.1923,FAKE
15,601,582,1356,129,201,0.2099,FAKE
15,599,297,435,464,721,0.198,FAKE
16,601,587,1369,130,205,0.2205,FAKE
16,599,298,434,465,723,0.1954,FAKE
17,601,591,1383,130,209,0.215,FAKE
17,599,300,436,464,725,0.1962,FAKE
18,601,593,1391,130,212,0.2081,FAKE
18,599,301,436,464,725,0.192,FAKE
19,601,593,1394,129,214,0.206,FAKE
19,599,304,436,463,725,0.1798,FAKE
20,601,588,1394,129,214,0.1867,FAKE
20,599,305,438,462,724,0.1865,FAKE
21,601,575,1391,129,213,0.1781,FAKE
21,599,306,437,462,725,0.1902,FAKE
22,601,561,1384,129,217,0.1752,FAKE
22,599,305,435,462,725,0.1903,FAKE
23,601,541,1375,130,215,0.1777,FAKE
23,599,307,433,462,724,0.1868,FAKE
24,601,517,1366,133,216,0.1791,FAKE
24,599,307,432,463,724,0.186,FAKE
25,601,490,1357,135,218,0.1879,FAKE
25,599,306,431,463,724,0.1861,FAKE
26,601,457,1348,138,223,0.1739,FAKE
26,599,305,430,463,726,0.1837,FAKE
27,601,421,1339,144,231,0.1958,FAKE
27,599,305,429,464,724,0.1852,FAKE
28,601,394,1328,149,239,0.206,FAKE
28,599,305,426,465,721,0.1826,FAKE
29,601,362,1323,156,244,0.1948,FAKE
29,599,304,423,467,715,0.2085,FAKE
30,601,330,1318,161,254,0.2012,FAKE
30,599,305,420,468,711,0.2091,FAKE
31,601,303,1318,166,264,0.2009,FAKE
31,599,304,419,470,708,0.2107,FAKE
32,601,274,1317,177,279,0.2191,FAKE
32,599,304,416,471,707,0.2158,FAKE
