frame_number,track_id,x,y,w,h,spoof_score,spoof_label
0,577,269,574,425,656,0.4014,REAL
1,577,268,574,425,656,0.4052,REAL
2,577,268,575,423,654,0.3988,REAL
3,577,269,575,421,655,0.3946,REAL
4,577,269,575,422,654,0.401,REAL
5,577,269,575,422,653,0.3974,REAL
6,577,270,576,421,653,0.3982,REAL
7,577,270,576,422,654,0.4001,REAL
8,577,271,576,421,653,0.3974,REAL
9,577,270,577,421,652,0.3956,REAL
10,577,270,576,422,652,0.397,REAL
11,577,269,576,422,652,0.4017,REAL
12,577,270,576,421,651,0.3986,REAL
13,577,270,576,422,652,0.4013,REAL
14,577,269,576,422,652,0.3972,REAL
15,577,269,576,422,653,0.4021,REAL
16,577,270,576,423,652,0.4009,REAL
17,577,270,576,422,652,0.4001,REAL
18,577,270,576,422,653,0.3925,REAL
19,577,270,577,422,653,0.3993,REAL
20,577,269,575,423,654,0.3974,REAL
21,577,270,574,423,654,0.3951,REAL
22,577,270,573,423,655,0.3956,REAL
23,577,270,573,424,656,0.3984,REAL
24,577,271,572,425,656,0.3974,REAL
25,577,271,571,426,657,0.4009,REAL
26,577,271,572,427,657,0.4035,REAL
27,577,270,572,428,656,0.4003,REAL
28,577,270,571,428,655,0.3987,REAL
29,577,270,571,428,656,0.3959,REAL
30,577,271,571,430,657,0.3973,REAL
31,577,271,570,430,657,0.402,REAL
32,577,271,570,431,658,0.4029,REAL
33,577,271,569,431,657,0.4002,REAL
34,577,272,569,431,657,0.4002,REAL
35,577,272,570,431,657,0.397,REAL
36,577,272,569,431,657,0.3961,REAL
37,577,288,568,421,657,0.4095,REAL
38,577,296,569,414,656,0.4082,REAL
39,577,301,551,410,656,0.4,REAL
40,577,304,561,407,657,0.4174,REAL
41,577,305,547,406,658,0.3994,REAL
42,577,306,542,404,658,0.3961,REAL
43,577,306,540,404,657,0.399,REAL
44,577,307,540,404,657,0.3936,REAL
45,577,307,539,404,656,0.3955,REAL
46,577,307,539,405,656,0.3945,REAL
47,577,306,539,406,656,0.3951,REAL
48,577,306,539,405,657,0.3916,REAL
49,577,306,538,405,658,0.3938,REAL
50,577,306,536,405,658,0.3905,REAL
51,577,307,535,405,659,0.3922,REAL
52,577,306,536,405,659,0.3977,REAL
53,577,306,536,406,659,0.3915,REAL
54,577,306,535,406,657,0.3936,REAL
55,577,305,533,407,657,0.3925,REAL
56,577,305,533,408,656,0.3916,REAL
57,577,305,534,408,654,0.3925,REAL
58,577,305,535,408,653,0.3934,REAL
59,577,306,535,408,652,0.3961,REAL
60,577,306,536,409,652,0.3917,REAL
61,577,305,535,409,651,0.3891,REAL
62,577,304,535,411,649,0.3888,REAL
63,577,304,536,412,647,0.3928,REAL
64,577,304,537,413,645,0.3891,REAL
65,577,305,536,412,645,0.3913,REAL
66,577,305,538,412,644,0.3867,REAL
67,577,305,537,413,645,0.3861,REAL
68,577,305,537,413,646,0.3857,REAL
69,577,305,535,414,647,0.388,REAL
70,577,305,535,414,647,0.3889,REAL
71,577,305,534,413,647,0.3879,REAL
72,577,306,535,412,646,0.3868,REAL
73,577,307,535,412,645,0.3865,REAL
74,577,306,534,412,644,0.3868,REAL
75,577,307,534,412,645,0.3901,REAL
76,577,308,534,411,644,0.3924,REAL
77,577,308,535,412,642,0.389,REAL
78,577,307,534,412,641,0.3932,REAL
79,577,305,535,412,640,0.3924,REAL
80,577,305,536,412,638,0.3952,REAL
81,577,305,535,410,639,0.393,REAL
82,577,303,535,408,637,0.3984,REAL
83,577,290,536,406,637,0.385,REAL
84,577,285,535,406,638,0.3838,REAL
85,577,280,537,406,638,0.3832,REAL
86,577,277,536,406,638,0.3836,REAL
87,577,275,534,407,639,0.3911,REAL
88,577,273,531,408,640,0.3896,REAL
89,577,271,530,408,642,0.3964,REAL
90,577,268,531,409,642,0.3897,REAL
91,577,267,532,409,642,0.3911,REAL
92,577,265,530,410,642,0.3944,REAL
93,577,263,530,412,643,0.4009,REAL
94,577,261,531,413,642,0.4114,REAL
95,577,258,529,414,642,0.4053,REAL
96,577,256,529,415,642,0.4071,REAL
97,577,253,528,418,641,0.4051,REAL
98,577,251,528,418,641,0.4064,REAL
99,577,249,527,420,641,0.4057,REAL
100,577,248,527,420,642,0.406,REAL
101,577,248,527,420,643,0.4075,REAL
102,577,248,525,422,642,0.4013,REAL
103,577,249,525,422,643,0.4026,REAL
104,577,250,526,423,643,0.4074,REAL
105,577,249,526,423,643,0.4085,REAL
106,577,249,524,424,643,0.404,REAL
107,577,249,522,424,644,0.4036,REAL
108,577,250,521,424,646,0.4038,REAL
109,577,250,522,424,645,0.3993,REAL
110,577,251,523,424,644,0.4,REAL
111,577,252,522,425,644,0.401,REAL
112,577,254,523,425,644,0.3977,REAL
113,577,257,521,424,644,0.3991,REAL
114,577,259,520,423,643,0.3974,REAL
115,577,262,520,421,641,0.3986,REAL
116,577,264,520,421,638,0.3905,REAL
117,577,266,520,421,637,0.3941,REAL
118,577,267,520,420,635,0.3902,REAL
119,577,268,521,420,633,0.3895,REAL
120,577,269,521,420,631,0.3891,REAL
121,577,269,522,420,631,0.3894,REAL
122,577,269,523,421,630,0.3938,REAL
123,579,817,1051,89,153,0.0445,FAKE
123,577,270,523,421,629,0.3965,REAL
124,579,793,1048,87,151,0.0556,FAKE
124,577,270,524,421,630,0.3911,REAL
125,579,769,1046,88,152,0.0673,FAKE
125,577,271,522,421,630,0.391,REAL
126,579,747,1043,87,152,0.0628,FAKE
126,577,271,523,420,629,0.3903,REAL
127,579,727,1040,86,151,0.0644,FAKE
127,577,271,520,419,628,0.3892,REAL
128,579,709,1037,85,150,0.0484,FAKE
128,577,272,519,418,628,0.3905,REAL
129,579,690,1038,85,148,0.0336,FAKE
129,577,273,517,415,629,0.3838,REAL
130,579,671,1037,85,149,0.0535,FAKE
130,577,274,514,413,631,0.3708,REAL
131,579,654,1028,87,152,0.0159,FAKE
131,577,275,512,410,631,0.3797,REAL
132,579,638,1024,88,153,0.0089,FAKE
132,577,276,511,409,629,0.3756,REAL
133,579,624,1023,88,154,0.0123,FAKE
133,577,278,510,408,629,0.3703,REAL
134,579,611,1020,92,157,0.0215,FAKE
134,577,278,511,408,627,0.3788,REAL
135,579,601,1021,91,156,0.0047,FAKE
135,577,278,510,407,627,0.3755,REAL
136,579,593,1022,92,156,0.0021,FAKE
136,577,278,509,406,627,0.3666,REAL
137,579,586,1020,93,156,0.0026,FAKE
137,577,278,509,407,627,0.3695,REAL
138,579,584,1020,93,157,0.002,FAKE
138,577,278,508,407,626,0.3641,REAL
139,579,585,1015,94,159,0.0079,FAKE
139,577,278,509,409,625,0.3649,REAL
140,579,588,1009,95,161,0.0292,FAKE
140,577,277,509,410,625,0.367,REAL
141,579,593,1001,95,165,0.0507,FAKE
141,577,277,510,410,624,0.3719,REAL
142,579,598,995,97,165,0.047,FAKE
142,577,277,510,410,626,0.3694,REAL
143,579,601,988,98,167,0.053,FAKE
143,577,277,508,408,628,0.3686,REAL
144,579,604,981,98,168,0.0606,FAKE
144,577,277,505,406,631,0.3667,REAL
145,579,609,971,98,168,0.0621,FAKE
145,577,278,501,405,634,0.3672,REAL
146,579,614,964,97,168,0.0319,FAKE
146,577,279,500,404,637,0.3654,REAL
147,579,620,951,97,166,0.0182,FAKE
147,577,279,500,402,639,0.3614,REAL
148,579,629,937,95,171,0.0387,FAKE
148,577,279,497,402,642,0.3763,REAL
149,579,636,917,93,171,0.034,FAKE
149,577,279,495,401,643,0.369,REAL
150,579,641,896,91,169,0.0374,FAKE
150,577,278,493,400,645,0.3694,REAL
151,579,645,873,91,169,0.0372,FAKE
